Tier,Company,Industry,Size,Location,Rating,Glassdoor,Position,Jobs,Status,Notes
,Google,Internet & Web Services,10K+,"Mountain View, CA",4.5,"https://www.glassdoor.com/Overview/Working-at-Google-EI_IE9079.11,17.htm",,,,
,Microsoft,Computer Hardware Development,10K+,"Redmond, WA",4.4,"https://www.glassdoor.com/Overview/Working-at-Microsoft-EI_IE1651.11,20.htm",,,,
,Amazon,Internet & Web Services,10K+,"Seattle, WA",3.8,"https://www.glassdoor.com/Overview/Working-at-Amazon-EI_IE6036.11,17.htm",,,,
,Box,Computer Hardware Development,1K to 5K,"Redwood City, CA",4.6,"https://www.glassdoor.com/Overview/Working-at-Box-EI_IE254092.11,14.htm"
